,Pass/Fail,v500,v59,v486,v103,v511,v573,v519,v319,v433,v14,v344,v587,v119,v566,v359,v21,v102,v121,v510,v113,v15,v225,v417,v39,v78,v64,v431,v137,v33,v333,v577,v298,v65,v129,v56,v124,v281,v385,v175,v27,v75
0,0,0,-0.435965543,1.174663323,1.638888889,0,0.178900923,0.007961109,-0.932825066,-0.346924822,-0.275247712,0.791189937,0.02945105,0.820895522,0.064190732,0.297297297,0.180989583,1.962264151,0.692307692,0.609322915,-0.02919708,0.207512054,1.81289225,-0.415120416,-0.960606061,-0.285223368,0.310184886,1.572029689,-0.535087719,1.545151893,0.552624322,0.20307025,-0.543859649,0.477293682,0.09998943,0.092105263,1.071428571,-0.404255319,-0.039794872,1.197758734,-2.044126561,0.73230528
1,0,0,-0.026852248,-0.257787427,1.555555556,0,-0.225431207,0.00700132,-0.972866595,0.165089415,0.319261392,1.691488702,0.546391753,0.276119403,0.276279382,0.468468468,0.141927083,-1.088534107,0.692307692,3.265206779,-0.284671533,0.196808594,1.903404956,0.48934043,-0.305194805,-0.513745704,-0.157093458,-1.322905928,-0.462406015,2.142530171,-0.058277415,-0.522928298,-0.09122807,0.198261353,0.049994715,0.184210526,0.714285714,0.319148936,0.034871795,1.647330257,0.060855861,0.092770397
2,0,1.408562014,3.779256114,-0.309998543,1.166666667,0,-0.959486562,-1.195360575,-0.635550803,0.102193472,0.170674669,0.529963353,0.010309278,0.5,1.349509738,0.504504505,0.095486111,-1.01161103,-1.846153846,2.300732942,0.729927007,0.790069262,-0.316790665,0.07760167,-1.468181818,0.929553265,-0.815823689,-0.278953386,0.072681704,-0.189554723,0.586542881,-0.938245495,-0.852631579,-0.410045515,0.449952436,-2.25,-1.357142857,0.70212766,-1.187282051,0.583388266,0.024245363,-1.907229603
3,0,0,-2.142383117,-0.520431317,1.555555556,0,-0.569594866,0.000859744,0.828940232,-0.51331613,0.430458115,0.8067147,0.010309278,-0.492537313,0.374799438,0.810810811,0.081597222,1.013062409,-0.307692308,3.494579479,-0.291970803,0.656813934,0.797491308,-0.934660511,3.285281385,-0.529209622,2.259209738,-0.528808127,0.065162907,-0.004785685,-1.158378527,-0.51047165,0.796491228,2.615931742,-0.450058133,-0.157894737,-0.5,0.510638298,-0.071794872,0.397495056,0.004994545,-1.825834254
4,0,0,4.411632207,-0.520431317,1.361111111,1.123123073,0.214199759,-1.111166129,0.556118575,1.514435167,-0.084404612,0.938693512,0.030927835,-0.462686567,-0.705194456,0.279279279,-0.928385417,0.387518142,0.692307692,0.749939887,-0.270072993,0.158164628,0.276288071,-0.811097715,-0.982683983,0.115120275,-1.538106874,1.351995202,0.01754386,1.827715356,0.84033459,-0.007599452,-0.873684211,-1.157180699,0.049994715,0.078947368,0.714285714,0.340425532,-0.913777778,-0.180619644,-2.0433992,1.011375048
5,0,1.431806079,0.183638375,0.658462677,1.638888889,1.350853151,-0.727637385,0.005693674,-0.996420436,-0.182675491,0.016518648,1.171995685,0.030927835,0.447761194,0.302062397,1.378378378,-1.095052083,0.323657475,0.307692308,3.890977216,-0.759124088,0.287155848,0.112569385,-0.399388361,3.750649351,-0.426116838,-0.397510259,0.703437482,0.05764411,0.791094465,-0.340288629,-0.977425686,-0.663157895,0,-0.350068703,0.184210526,0.428571429,0.595744681,-0.068786325,0.303230059,-2.042914293,1.123778149
6,0,0,4.546523175,-0.520431317,1.222222222,0,0.486161252,0.293501653,0.783847024,-0.141499149,1.274260919,-0.10105318,0.474226804,-0.537313433,0.959253923,0.765765766,0.221788194,-0.12191582,-0.076923077,1.109259775,0,-0.300513578,0.447044603,-0.181991943,-1.989177489,0.312714777,-1.692175757,-0.264502465,1.042606516,-0.085518102,0.661549775,0.406552735,0.473684211,-1.604882261,0.90001057,0.078947368,0.142857143,0.021276596,-0.47617094,1.104152933,0.0601285,-0.480873014
7,0,1.358953695,4.199074784,0.71974022,1.472222222,0.713513475,0.187725632,-0.815373105,0.265600545,0.003597013,1.00296038,0.701239793,-0.24742268,-0.440298507,-0.199180658,-0.558558559,2.303385417,-0.031930334,-0.076923077,3.166473211,-0.080291971,0.421887516,-0.468911892,-0.3656012,-1.062554113,0.357388316,-1.29532943,11.66093753,-0.013784461,1.775697045,-0.73710819,0.084472206,14.12280702,-0.926092874,0.90001057,0.078947368,0.142857143,-0.234042553,-0.941128205,0.593276203,-2.423081586,-0.097152084
8,0,0,4.414264147,0.480007981,0.777777778,0,-1.009225832,-0.601058576,0.687586196,-0.441030872,0.933776714,1.262871451,0.443298969,0.78358209,1.017743452,0.666666667,0.287760417,0.40203193,-0.076923077,1.347492825,-0.554744526,0.08945988,0.530519463,-0.788837592,-1.989177489,0.35395189,-1.541113007,1.342314397,1.177944862,-0.085518102,-1.240463278,-1.14705118,-0.663157895,-1.18879246,0.90001057,0.078947368,0.142857143,0.127659574,-0.749675214,1.104152933,-2.019638744,-0.209555185
9,0,0,3.495652455,-0.520431317,0.722222222,0,-1.318090654,-0.775201598,-0.482388855,0.163091414,-0.132770996,1.090696884,-0.515463918,0.78358209,0.396622504,0.756756757,0.003472222,0.989840348,0.307692308,1.65256772,0.897810219,0.258359379,1.054764345,0.387214397,-1.468181818,-0.412371134,-0.491899119,-0.443630161,-0.576441103,-0.189554723,-0.0777645,-1.301262692,-0.550877193,-0.110889959,-0.350068703,-2.25,0.428571429,0.531914894,-0.900102564,0.583388266,0.067014184,-0.34133813
10,0,0,-0.349789687,-0.076103237,1.5,0,-0.119534697,0.003511401,-0.660282336,-0.425345002,0.214850562,-1.122599058,-0.515463918,-0.649253731,-0.617643324,0.171171171,-0.948784722,2.380261248,-0.153846154,0.275660331,-0.627737226,-0.183757126,-0.266971845,0.372717382,-2.018181818,-0.613402062,0.211757112,0.589423275,-0.472431078,0.057636288,0.346355364,-0.243415452,-0.733333333,-0.294852844,0.149984145,-0.776315789,0.142857143,0.531914894,0.011350427,1.545154911,-2.011734756,-0.53513658
11,0,0,3.140130628,-0.263022612,1.944444444,0,0.092258323,0.482068363,-0.478855779,0.59418831,0.936101761,-0.077133681,0.268041237,-0.514925373,0.365047927,0.927927928,4.910590278,0.07256894,0.461538462,7.486667093,-0.569343066,0.983579652,0.762883565,-0.425588849,-0.156060606,-0.682130584,-0.085831528,20.8739621,0.101503759,0.896171452,-1.061218862,-0.112629607,16.4,-0.215852713,0.09998943,0.184210526,0.285714286,-0.893617021,0.385367521,0.346077785,-2.799369621,-0.166919526
12,0,0,-1.468041304,-0.121599428,0.833333333,0.802230715,-0.457280385,0.004152795,-0.406210776,-0.27055154,0.866918096,0.694577158,0.030927835,-0.141791045,-0.189289944,0.684684685,-0.40625,-0.410740203,0.461538462,0.742895892,-2.335766423,1.315677467,-0.723902745,-0.347369659,3.991125541,0.116838488,1.488994421,-0.838237775,-0.195488722,0.745526425,-1.404632779,-0.469732137,0.196491228,1.670754731,0.09998943,-1.039473684,0.285714286,-0.170212766,-0.003008547,0.612392881,-0.010183052,0.418351792
13,0,1.835729078,-1.05056393,-0.385921496,0.972222222,0,1.528279182,0.006933344,-0.357429532,0.736758447,0.277464617,-0.284216053,0.030927835,0.044776119,-1.972426888,-0.747747748,-0.154947917,0.833091437,0.461538462,1.476436693,-0.788321168,0.647398345,0.506559379,-0.238744964,-0.69004329,0.013745704,1.012162848,-0.58648061,0.511278195,-0.403245943,0.03005791,1.493023381,-1.333333333,1.143013947,0.09998943,-1.039473684,0.285714286,-0.021276596,0.016410256,2.661832564,-1.909225361,-0.062268363
14,0,0,-0.079119673,0.090701317,1.361111111,0,0.171680706,0.006943472,-0.454434165,0.699020881,-0.153507171,0.057970245,0.030927835,-0.164179104,-1.135379449,0.747747748,-0.090277778,0.544267054,0.615384615,1.932386638,-0.489051095,-0.242543701,-0.421563696,-0.560384627,-0.786580087,0.280068729,-0.097394993,0.655042828,-1.115288221,-0.271119434,0.716242302,-0.00426573,-0.214035088,-0.008488343,-0.300073988,-1.039473684,0.428571429,0.489361702,-0.010393162,1.400791035,0.068856831,1.034630862
15,0,0,3.471577469,-0.277995938,2.361111111,0.452601908,-0.098676294,-0.89992047,-0.502316644,-0.068194517,1.180907579,2.982518432,-0.412371134,0.455223881,0.316245192,0.576576577,0.09375,-0.333817126,0.615384615,10.45346586,-0.109489051,-0.60167109,0.760411991,-1.041756109,-1.468181818,0.285223368,-0.464401309,-0.209135381,-0.223057644,-0.189554723,1.118393235,-0.035774777,0.814035088,-0.503197764,-0.300073988,-2.25,0.428571429,-0.638297872,-0.927452991,0.583388266,0.080494605,-0.294826503
16,0,0,0.483824871,-0.093476517,1.388888889,0,0.058563979,0.008684902,-0.525870485,0.076271752,0.797139652,-0.507143946,-0.412371134,0.679104478,-1.27995482,0.684684685,0.142795139,-0.175616836,0.615384615,1.409702101,-1.03649635,0.163143346,-1.01369073,-0.168759373,-1.202813853,0.290378007,-0.740375305,-0.287884468,-0.4160401,-0.234706617,1.852376138,-0.041635674,-0.659649123,-0.560011123,-0.300073988,-0.565789474,0.428571429,-0.319148936,0.037333333,0.793012525,-0.011783246,0.600522335
17,0,0,-0.137829699,-0.520431317,0.25,1.516216203,-0.701163257,0.009539582,-0.388762339,0.473313665,1.257769307,-0.009499237,-0.907216495,0.723880597,-1.297171989,-0.423423423,0.154947917,1.129172714,0.615384615,0.599711805,0.087591241,-0.120423741,-0.679026122,-1.008851119,-0.786580087,-0.23024055,-0.030337959,0.000749724,-0.551378446,-0.271119434,0.312712565,-0.687804135,0.256140351,0.148136223,-0.300073988,-0.565789474,0.428571429,0.617021277,-0.056752137,1.400791035,0.038792581,0.852460319
18,0,0,-0.747600171,-0.207381755,0.805555556,1.410433589,0.024067389,0.006442325,-0.46611811,-0.51331613,1.746678022,0.385740691,1.422680412,-0.059701493,0.036486965,1.036036036,0.369791667,-0.258345428,0.538461538,-0.143654609,-0.759124088,0.47267987,-1.18920102,-0.263945658,-0.786580087,-0.197594502,0.666125686,-0.207514104,-0.741854637,-0.271119434,-0.052486442,-0.200704383,-0.473684211,0.825037685,0.199978861,-1.039473684,0.714285714,0,-0.071384615,1.400791035,-0.025797066,-1.058392394
19,0,0,2.321920186,-0.262577484,0.694444444,0,1.002005616,-1.089361809,-0.700447833,0.288030653,-1.154385823,0.243442586,2.195876289,-0.5,0.079606814,0.09009009,4.933159722,0.002902758,-0.461538462,0.459074074,-0.912408759,-0.430808374,0.676365158,-1.151851089,0.408658009,-1.151202749,0.848706718,18.06907765,0.23433584,-0.0443196,0.359683794,0.89549858,16.09473684,1.071404528,0.249973576,-0.184210526,-0.571428571,0.659574468,-1.105230769,-1.054054054,-2.82603952,-0.76769472
20,0,0,0.326618926,0.65276447,0.833333333,0.297297327,-0.112314481,0.000746963,-0.594393566,0.237385199,0.456141774,-0.347204065,2.195876289,-0.149253731,-0.735477135,0,4.891059028,-0.660377358,1.461538462,0.650102667,0.01459854,0.072568359,-0.471381565,-0.247772517,-0.366017316,-0.338487973,-0.560818848,19.8623039,0.387218045,-0.157719517,-1.268958544,-0.25348831,16.49122807,-0.227282706,-0.500052849,0.210526316,1.642857143,1.276595745,0.001641026,1.420566908,-2.762031761,-1.22893503
