,42,5,49,69,482,418,511,419,486,499,500,23,489,468,24,487,484,112,485,10,488,Pass/Fail,483,41,433,9,40,108,81,82,432,75,7,77,113,107,20,582,95,102,586,521,80,128,79,91,126,589,118,76,87,116,129,78,571,510,438,125,88,546,58,544,71,84,103,55,547,367,15,476,368,59,8,130,570,83,6,101,29,563,316,1
0,70,100,1,1,613.3069,525.0965,0,0,843.1138,0,0,-4043.75,0,311.6377,751,0,494.6996,0.457537676,178.1759,-0.0034,53.1098,-1,291.4842,4.515,49.0013,0.0162,61.29,0.3196,-0.0567,-0.0044,26.3617,0.0126,0.1242,0.0141,0.946,-0.2468,1.4026,0.5005,0.0003,0.135,0.021458429,0,-0.0026,3.188,-0.0083,-0.3274,3.353,99.67006635,0.6002,-0.0206,0.969,0.9908,-0.0473,-0.0307,2.1113,64.6707,44.5055,0.8656,1747.6049,1.0616,4.7057,0.0026,84.0793,0.132,-0.0042,2834,395.57,0.0124,414.871,31.9893,0.0114,-1.7264,1.5005,0.7243,533.85,7.2163,97.6133,0.0002,2.0222,0.679640726,6.2698,2564
1,70,100,1,1,0,0,0,368.9713,130.635,0,0,-3498.75,0,463.2883,-1640.25,820.79,0,0.457537676,359.0444,-0.0148,194.4371,-1,246.7762,2.773,199.7866,-0.0005,78.25,-0.0903,-0.0377,0.0017,8.4887,-0.0039,0.1247,0.0004,0.9425,0.0772,1.3825,0.5019,0.0001,-0.0752,0.0096,0,-0.012,3.272,-0.0358,0.1455,2.771,208.2045,0.5958,-0.0198,0.9894,0.9902,-0.0946,-0.044,2.4335,141.4365,48.5294,0.8703,1931.6464,1.3526,4.682,0.0026,82.3494,0.1358,-0.0045,2853,408.798,0.0081,414.7347,30.8643,0.0033,0.8073,1.4966,0.8122,535.0164,6.8043,102.3433,-0.0004,2.2667,0.679640726,5.6522,2465.14
2,70,100,1,1,434.2674,0,244.2748,0,746.915,0,0,-4047,250.1742,21.3645,-1916.5,74.0741,0,0.4684,190.3869,0.0013,191.7582,1,151.7665,5.434,109.5747,0.0041,14.37,-0.0728,-0.0182,0.0287,18.7546,-0.0078,0.1241,-0.0052,0.9231,-0.0301,1.4123,0.4958,0.0002,0.0134,0.0584,0,-0.1134,3.272,-0.0054,0.0553,3.094,82.8602,0.6015,-0.0326,0.988,0.9899,-0.1892,0.0213,2.0293,240.7767,60,0.8798,1685.8514,0.7942,4.5873,0.0026,84.7681,0.1362,-0.0026,2936,411.136,0.003,416.7075,13.3923,0.0037,23.8245,1.4436,0.8194,535.0245,7.1041,95.4878,-0.0001,2.3333,0.9032,5.7247,2559.94
3,70,100,1,1,225.0169,317.7362,0,0,104.666,0,711.6418,-4515,336.766,24.2831,-1657.25,71.7583,305.75,0.4647,88.5553,-0.0033,0,-1,100.4883,1.279,181.2641,-0.0124,76.9,-0.118,0.0028,0.0277,76.0354,-0.0555,0.1217,-0.04,0.9564,-0.0483,1.4011,0.499,0.0002,-0.0699,0.0202,0,-0.1051,3.119,0.0676,0.0697,2.48,73.8432,0.6016,-0.0461,0.9904,0.9906,0.2838,0.04,2.0253,113.5593,34.0336,1.366,1752.0968,1.165,4.5873,0.0026,70.2289,0.1302,-0.0059,2936,372.822,0.0028,422.2894,35.4323,0.0034,24.3791,1.4882,0.7244,530.5682,7.5925,104.2367,0,2.6444,0.6511,5.444,2479.9
4,70,100,1,1,171.4486,0,0,866.0295,0,293.1396,0,-3987.5,0,44.898,117,587.3773,461.8619,0.457537676,240.1781,-0.0072,748.1781,-1,276.881,2.209,0,-0.0031,76.39,-0.2038,-0.0123,-0.0048,43.8119,-0.0534,0.1235,-0.0167,0.9424,-0.0799,1.3888,0.48,-0.0001,0.0696,0.0202,0,-0.0178,3.299,0.0034,0.0448,3.027,73.8432,0.5913,0.0183,0.9902,0.9908,-0.5677,-0.0449,2.0275,148.0663,25.3521,0.946,1828.3846,1.4636,4.6414,0.0026,65.8417,0.1342,-0.0045,2865,399.914,0.0052,420.5925,42.6838,0.0027,-12.2945,1.5031,0.778,532.0155,7.5017,100.3967,-0.0003,3.1556,0.679640726,4.8956,2502.87
5,70,100,1,1,325.3468,347.774,622.2222,865.1584,0,0,0,-3906.5,273.8095,23.3606,193.75,78.3348,0,0.4651,826.936,0.0055,723.4234,-1,71.0586,3.024,597.1613,0.0167,59.94,0.1324,-0.0111,0.021,8.2683,0.0198,0.1235,-0.001,0.9427,-0.2601,1.3836,0.4949,0.0001,0.0265,0.0342,0,-0.0853,3.272,-0.0026,-0.113,2.771,44.0077,0.6081,-0.055,0.9888,0.9907,-0.0946,-0.0074,2.3236,68.7351,55.102,0.8703,1832.6305,1.2708,4.6275,0.0026,70.3707,0.1417,-0.0052,2865,412.222,0.0033,414.2426,56.539,0.0027,28.2955,1.5287,0.8122,534.2091,6.7509,100.3967,-0.0001,1.6333,0.8444,5.5901,2432.84
6,70,100,1,1,266.1526,326.1524,748.3871,467.5756,586.3636,0,723.3853,-3914.75,304.5139,162.4892,580.25,0,110.6781,0.457537676,189.4602,0.0105,355.7932,-1,509.0909,3.978,97.3718,-0.027,74.46,-0.0372,-0.0281,0.0288,11.2651,0.0227,0.1247,-0.0321,0.936,0.0148,1.4067,0.501,0.0001,0.0221,0.0342,0,-0.0022,3.383,-0.0154,0.1397,2.854,44.0077,0.6034,-0.0132,0.9675,0.9905,-0.4731,-0.0389,2.4229,159.5238,24.1071,0.8089,1740.6472,0.5051,4.682,0.0026,83.4997,0.1479,-0.0042,2853,404.356,0.0026,415.8852,29.9535,0.004,2.1109,1.5816,0.7589,541.9036,8.4126,102.3433,-0.0001,2.4889,0.679640726,4.9162,2430.12
7,70,100,1,1,374.6159,399.362,0,0,0,0,0,-3819.75,440.8163,16.2027,-737,129.2388,484.1046,0.465,0,0.0007,0,-1,89.1323,2.671,109.498,0.0157,78.09,-0.0866,0.0004,0.0086,37.4108,-0.0187,0.1185,0.0249,0.9464,0.1039,1.4092,0.4984,0.0002,-0.0086,0.0204,0,-0.0765,3.442,0.0002,-0.0672,2.645,95.031,0.6039,-0.0594,0.9902,0.9902,0.7096,0.0041,2.2008,79.1209,39.4422,0.7568,1826.1111,0.6174,4.6275,0.0026,57.0841,0.137,-0.0057,2865,408.116,0.0067,408.4017,71.7657,0.0064,29.1309,1.5153,0.7863,493.0054,6.2166,106.24,-0.0001,2.7889,0.5652,4.8066,2690.15
8,70,100,1,1,477.0328,496.3964,395.2941,624.0602,616.8421,0,686.5784,-2948,155.6827,18.8665,622.75,86.1931,51.4694,0.4642,892.1933,-0.0066,364.0719,-1,106.1693,3.217,152.228,0.0111,61.1,-0.1156,-0.0251,0.0306,134.3623,-0.0088,0.1185,-0.0629,0.9453,-0.0299,1.4278,0.4993,0.0002,-0.0024,0.0111,0,-0.094,3.442,-0.0047,0.001,2.645,111.6525,0.6054,-0.0523,0.98,0.9906,0.7096,0.0067,2.217,138.5827,27.9793,0.7568,1788.8624,0.671,4.6275,0.0026,74.3992,0.137,-0.0048,2865,408.468,0.0064,417.6009,44.9089,0.0064,26.9791,1.5358,0.7863,535.1818,7.6346,106.24,0.0001,2.1444,0.6286,4.3824,2600.47
